School DBN,date,temperature_2m_mean (°C),precipitation_sum (mm),absent_rate,present_rate
07X005,2019/04,9.2125,3.5125,0.08472121523352759,0.9152787847664724
07X005,2019/05,15.477272727272727,3.227272727272727,0.08757430253874687,0.9123021796746918
07X005,2019/06,20.146666666666665,7.493333333333334,0.18372172736178508,0.816278272638215
07X018,2018/09,21.279999999999998,13.366666666666667,0.07669254403870084,0.9233074559612992
07X018,2018/10,13.759090909090908,2.7409090909090907,0.06402214809047226,0.9359778519095276
07X018,2018/11,6.911111111111111,6.238888888888889,0.10054465935790496,0.8994553406420951
07X018,2018/12,2.393333333333333,3.5600000000000005,0.09797248183788856,0.9020275181621114
07X018,2019/01,-0.8428571428571429,2.085714285714286,0.11650492767616846,0.8814318553559353
07X018,2019/02,0.892857142857143,3.0500000000000003,0.08518400667882413,0.9105497817170802
07X018,2019/03,2.785,2.825,0.09933856465209148,0.9006614353479085
07X018,2019/04,9.2125,3.5125,0.08452045559997154,0.9154795444000284
07X018,2019/05,15.477272727272727,3.227272727272727,0.09231148547816784,0.9076885145218321
07X018,2019/06,20.146666666666665,7.493333333333334,0.20092758262592772,0.7990724173740723
07X025,2018/09,21.279999999999998,13.366666666666667,0.06947726727494827,0.9305227327250517
07X025,2018/10,13.759090909090908,2.7409090909090907,0.0689105043093081,0.931089495690692
07X025,2018/11,6.911111111111111,6.238888888888889,0.09900390381429047,0.9009960961857095
07X025,2018/12,2.393333333333333,3.5600000000000005,0.08000778231746297,0.919992217682537
07X025,2019/01,-0.8428571428571429,2.085714285714286,0.1259042553857748,0.8740957446142252
07X025,2019/02,0.892857142857143,3.0500000000000003,0.07459543430051359,0.9186025594829603
07X025,2019/03,2.785,2.825,0.07771499234877187,0.9170643872929931
07X025,2019/04,9.2125,3.5125,0.06437204270898768,0.9350564500353186
07X025,2019/05,15.477272727272727,3.227272727272727,0.07034247448749366,0.9294115295986404
07X025,2019/06,20.146666666666665,7.493333333333334,0.16567686820394403,0.8340828915558158
07X029,2018/09,21.279999999999998,13.366666666666667,0.07567825056970931,0.9242367154166852
07X029,2018/10,13.759090909090908,2.7409090909090907,0.06957875720519907,0.9304212427948009
07X029,2018/11,6.911111111111111,6.238888888888889,0.09767266560552207,0.902327334394478
07X029,2018/12,2.393333333333333,3.5600000000000005,0.09294068584884098,0.907059314151159
07X029,2019/01,-0.8428571428571429,2.085714285714286,0.11598245399343979,0.8838426188345491
07X029,2019/02,0.892857142857143,3.0500000000000003,0.08464010938125048,0.9122240021170074
07X029,2019/03,2.785,2.825,0.09392592529904933,0.9043852930362946
